n,m,lhs,rhs,exact_residual,recurrence_residual,corrupt_sign_residual,pass,control_fails
0,1,1,1,0,0,0,True,False
0,2,1,1,0,0,0,True,False
0,3,1,1,0,0,0,True,False
0,4,1,1,0,0,0,True,False
0,5,1,1,0,0,0,True,False
0,6,1,1,0,0,0,True,False
0,7,1,1,0,0,0,True,False
0,8,1,1,0,0,0,True,False
0,9,1,1,0,0,0,True,False
0,10,1,1,0,0,0,True,False
0,11,1,1,0,0,0,True,False
0,12,1,1,0,0,0,True,False
1,1,1/2,1/2,0,0,1,True,True
1,2,1/3,1/3,0,0,4/3,True,True
1,3,1/4,1/4,0,0,3/2,True,True
1,4,1/5,1/5,0,0,8/5,True,True
1,5,1/6,1/6,0,0,5/3,True,True
1,6,1/7,1/7,0,0,12/7,True,True
1,7,1/8,1/8,0,0,7/4,True,True
1,8,1/9,1/9,0,0,16/9,True,True
1,9,1/10,1/10,0,0,9/5,True,True
1,10,1/11,1/11,0,0,20/11,True,True
1,11,1/12,1/12,0,0,11/6,True,True
1,12,1/13,1/13,0,0,24/13,True,True
2,1,1/3,1/3,0,0,2,True,True
2,2,1/6,1/6,0,0,8/3,True,True
2,3,1/10,1/10,0,0,3,True,True
2,4,1/15,1/15,0,0,16/5,True,True
2,5,1/21,1/21,0,0,10/3,True,True
2,6,1/28,1/28,0,0,24/7,True,True
2,7,1/36,1/36,0,0,7/2,True,True
2,8,1/45,1/45,0,0,32/9,True,True
2,9,1/55,1/55,0,0,18/5,True,True
2,10,1/66,1/66,0,0,40/11,True,True
2,11,1/78,1/78,0,0,11/3,True,True
2,12,1/91,1/91,0,0,48/13,True,True
3,1,1/4,1/4,0,0,7/2,True,True
3,2,1/10,1/10,0,0,24/5,True,True
3,3,1/20,1/20,0,0,11/2,True,True
3,4,1/35,1/35,0,0,208/35,True,True
3,5,1/56,1/56,0,0,25/4,True,True
3,6,1/84,1/84,0,0,136/21,True,True
3,7,1/120,1/120,0,0,133/20,True,True
3,8,1/165,1/165,0,0,224/33,True,True
3,9,1/220,1/220,0,0,69/10,True,True
3,10,1/286,1/286,0,0,1000/143,True,True
3,11,1/364,1/364,0,0,99/14,True,True
3,12,1/455,1/455,0,0,464/65,True,True
4,1,1/5,1/5,0,0,6,True,True
4,2,1/15,1/15,0,0,128/15,True,True
4,3,1/35,1/35,0,0,10,True,True
4,4,1/70,1/70,0,0,384/35,True,True
4,5,1/126,1/126,0,0,35/3,True,True
4,6,1/210,1/210,0,0,256/21,True,True
4,7,1/330,1/330,0,0,63/5,True,True
4,8,1/495,1/495,0,0,1280/99,True,True
4,9,1/715,1/715,0,0,66/5,True,True
4,10,1/1001,1/1001,0,0,1920/143,True,True
4,11,1/1365,1/1365,0,0,286/21,True,True
4,12,1/1820,1/1820,0,0,896/65,True,True
5,1,1/6,1/6,0,0,31/3,True,True
5,2,1/21,1/21,0,0,320/21,True,True
5,3,1/56,1/56,0,0,73/4,True,True
5,4,1/126,1/126,0,0,1280/63,True,True
